geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon
36047092200,922,092200,3092200,3,Brooklyn,Brownsville,BK1602,E,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),1742723.88148,7737.11247254,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-x84u~i7kq-7k86,40.655488505277155,-73.90516817168862
36047092000,920,092000,3092000,3,Brooklyn,Brownsville,BK1602,E,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),2554843.43887,6731.27044499,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-2u8g~w89p.7kni,40.658334252728096,-73.90175342807099
36047109800,1098,109800,3109800,3,Brooklyn,East New York-New Lots,BK0503,I,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),9191378.30234,13567.6855337,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-zjyj.9f6q_2ukd,40.653242708515194,-73.90040335466357
36081099703,997.03,099703,4099703,4,Queens,Bay Terrace-Clearview,QN0703,I,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),6202992.74793,15482.9155822,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rpe8~dyfn~8xfn,40.782095092026495,-73.7736082957209
36005033201,332.01,033201,2033201,2,Bronx,Allerton,BX1104,E,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),1224202.53516,4758.78917985,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-7r39.7izk~hkm8,40.85832006475248,-73.86950754767606
36005033202,332.02,033202,2033202,2,Bronx,Allerton,BX1104,E,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),1231532.64169,4633.93273333,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-wb5k_ef33-ztn3,40.86363860081074,-73.86935577058283
36005033000,330,033000,2033000,2,Bronx,Allerton,BX1104,E,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),2218400.95044,7143.7815398,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-d863_2dan-yda9,40.86057956643457,-73.86590393561933
36005033801,338.01,033801,2033801,2,Bronx,Allerton,BX1104,E,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),1231399.54219,4676.22902963,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-tkhm~qmfc-w7nc,40.86836172839248,-73.86635949705033
36047002200,22,002200,3002200,3,Brooklyn,Sunset Park (West),BK0702,I,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),3648873.76266,10237.4717947,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-er83.k2mi-vvcr,40.64189057298418,-74.02212008115305
36047007000,70,007000,3007000,3,Brooklyn,Bay Ridge,BK1001,I,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),1588000.49437,7238.16234347,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-j3sg~c679~2j25,40.63924819586108,-74.0227234172984
36047047600,476,047600,3047600,3,Brooklyn,Borough Park,BK1202,E,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),2236222.52347,7553.38060926,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-et2v_d8p2_2e9z,40.6302232849364,-73.97940341783315
36047015900,159,015900,3015900,3,Brooklyn,Park Slope,BK0602,I,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),2699300.47049,7060.35379799,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-2wyy.nzic-gwiy,40.67449983677897,-73.97112447195285
36005012300,123,012300,2012300,2,Bronx,Crotona Park East,BX0303,E,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),3207298.50194,11636.4645239,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-nd6r.5ka7.7c9z,40.82678406333709,-73.8869054892588
