geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname_x,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon,Year,ntaname_y,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank
36061005501,55.01,5501,1005501,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1338496.69078,4650.76717844,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3xci-7yte~966i,40.72748586150174,-73.99696510464963,2023.0,Greenwich Village,"336,493.8523",7.64%,5.99%,0.12,5.15916901685,112.0
36061005502,55.02,5502,1005502,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1243017.22804,4547.01610161,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-z42n-xzkk-5epn,40.7259131478304,-73.9938258056684,2025.0,Greenwich Village,"519,331.168772581",11.64%,574.42%,0.38,6.21272153495,87.0
36061005502,55.02,5502,1005502,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1243017.22804,4547.01610161,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-z42n-xzkk-5epn,40.7259131478304,-73.9938258056684,2024.0,Greenwich Village,"545,591.271455395",11.98%,5.65%,0.11,5.24535499119,117.0
36061005502,55.02,5502,1005502,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1243017.22804,4547.01610161,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-z42n-xzkk-5epn,40.7259131478304,-73.9938258056684,2023.0,Greenwich Village,"336,493.8523",7.64%,5.99%,0.12,5.15916901685,112.0
36061005800,58.0,5800,1005800,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1879679.3185,5720.57424501,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-zgbh_3usc-ant4,40.74327933509062,-73.99021145849551,2025.0,Midtown South-Flatiron-Union Square,"354,582.409155647",14.70%,600.83%,0.35,5.75952211194,130.0
36061005800,58.0,5800,1005800,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1879679.3185,5720.57424501,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-zgbh_3usc-ant4,40.74327933509062,-73.99021145849551,2024.0,Midtown South-Flatiron-Union Square,"330,563.241654016",15.55%,5.07%,0.13,5.18662022325,121.0
36061005800,58.0,5800,1005800,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1879679.3185,5720.57424501,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-zgbh_3usc-ant4,40.74327933509062,-73.99021145849551,2023.0,Midtown South-Flatiron-Union Square,"41,919.22102",8.19%,4.98%,0.13,4.92685980951,136.0
36061006700,67.0,6700,1006700,1,Manhattan,West Village,MN0203,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1812883.09437,5458.85945313,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3f79~kng8~sryg,40.730628060555,-74.00370741458228,2025.0,West Village,"605,981.189659805",13.57%,741.45%,0.37,6.22559569875,85.0
36061006700,67.0,6700,1006700,1,Manhattan,West Village,MN0203,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1812883.09437,5458.85945313,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3f79~kng8~sryg,40.730628060555,-74.00370741458228,2024.0,West Village,"436,653.30189345",11.54%,7.27%,0.1,5.11285628358,129.0
36061006700,67.0,6700,1006700,1,Manhattan,West Village,MN0203,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1812883.09437,5458.85945313,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3f79~kng8~sryg,40.730628060555,-74.00370741458228,2023.0,West Village,"376,781.3101",9.57%,7.14%,0.1,5.06099204359,124.0
36061006800,68.0,6800,1006800,1,Manhattan,Gramercy,MN0602,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877720.94746,5723.8908693,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-5wav_xj8i-rcyd,40.74010582841685,-73.98449073323978,2025.0,Gramercy,"507,842.027125365",12.41%,303.30%,0.35,5.9568313992,112.0
36061006800,68.0,6800,1006800,1,Manhattan,Gramercy,MN0602,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877720.94746,5723.8908693,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-5wav_xj8i-rcyd,40.74010582841685,-73.98449073323978,2024.0,Gramercy,"410,034.63548558",11.02%,2.99%,0.1,4.87015737078,152.0
36061006800,68.0,6800,1006800,1,Manhattan,Gramercy,MN0602,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877720.94746,5723.8908693,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-5wav_xj8i-rcyd,40.74010582841685,-73.98449073323978,2023.0,Gramercy,"424,875.0802",9.16%,3.44%,0.08,5.04651607941,125.0
36061007001,70.01,7001,1007001,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),967527.980166,4116.82319428,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rq7s-md2m-gtvu,40.7424988018591,-73.97568172222503,2025.0,Murray Hill-Kips Bay,"1,043,268.45251766",12.13%,320.32%,0.4,6.23798572293,83.0
36061007001,70.01,7001,1007001,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),967527.980166,4116.82319428,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rq7s-md2m-gtvu,40.7424988018591,-73.97568172222503,2024.0,Murray Hill-Kips Bay,"926,197.93662432",10.91%,3.26%,0.14,5.49564540785,98.0
36061007001,70.01,7001,1007001,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),967527.980166,4116.82319428,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rq7s-md2m-gtvu,40.7424988018591,-73.97568172222503,2023.0,Murray Hill-Kips Bay,"1,127,865.041",9.69%,4.16%,0.13,5.58353997611,73.0
36061007002,70.02,7002,1007002,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),941181.266394,4036.36952209,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ex8m-w69d_jmmb,40.7438665916482,-73.97792642248284,2025.0,Murray Hill-Kips Bay,"1,043,268.45251766",12.13%,320.32%,0.4,6.23798572293,83.0
36061007002,70.02,7002,1007002,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),941181.266394,4036.36952209,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ex8m-w69d_jmmb,40.7438665916482,-73.97792642248284,2024.0,Murray Hill-Kips Bay,"926,197.93662432",10.91%,3.26%,0.14,5.49564540785,98.0
36061007002,70.02,7002,1007002,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),941181.266394,4036.36952209,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ex8m-w69d_jmmb,40.7438665916482,-73.97792642248284,2023.0,Murray Hill-Kips Bay,"1,127,865.041",9.69%,4.16%,0.13,5.58353997611,73.0
36061007200,72.0,7200,1007200,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877428.79582,5722.94380674,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-uda6_udz8_uc7q,40.74497025665547,-73.98086459923623,2025.0,Murray Hill-Kips Bay,"1,043,268.45251766",12.13%,320.32%,0.4,6.23798572293,83.0
36061007200,72.0,7200,1007200,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877428.79582,5722.94380674,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-uda6_udz8_uc7q,40.74497025665547,-73.98086459923623,2024.0,Murray Hill-Kips Bay,"926,197.93662432",10.91%,3.26%,0.14,5.49564540785,98.0
36061007200,72.0,7200,1007200,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877428.79582,5722.94380674,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-uda6_udz8_uc7q,40.74497025665547,-73.98086459923623,2023.0,Murray Hill-Kips Bay,"1,127,865.041",9.69%,4.16%,0.13,5.58353997611,73.0
